run, cd, cl
388,0.3160025752,0.3379786338
389,0.2783181949,-0.1273313408
390,0.2333300755,0.1206304461
391,0.2843709370,-0.0875678262
392,0.2866936581,-0.1396388825
393,0.2870693102,-0.1002105436
394,0.2856955604,-0.1078866269
395,0.2810524098,-0.0490529480
396,0.2913086303,-0.0391456352
397,0.2905804201,-0.0183937879
398,0.2670987778,0.2684462567
399,0.4231740089,0.6027340983
400,0.2964626803,0.3639900816
401,0.2839943710,-0.0641833742
402,0.3023821669,0.0189312545
403,0.2905285778,-0.0297465286
404,0.2989599321,-0.0521792433
405,0.2822754255,-0.0718124750
406,0.2761562267,-0.0484031042
407,0.2779063318,0.3139892545
408,0.2440286256,0.0234881687
409,0.3012195899,0.0549216191
410,0.2977780449,-0.1567208534
411,0.2806912137,0.0156963996
412,0.2896762252,-0.0628522094
413,0.2883436429,-0.0670271491
414,0.3509727341,0.5304934400
415,0.2860814873,-0.0165326652
416,0.2851323380,-0.0911086772
417,0.2882127747,-0.0579862348
418,0.2456073994,0.1123362167
419,0.2922288411,0.2937559681
420,0.3675104182,0.4790226577
421,0.3331653662,0.5253843866
422,0.2885061349,0.1209913860
423,0.2789331953,0.2269460356
424,0.3884385326,0.3674841983
425,0.2978718137,0.2566324702
426,0.2705084511,0.2753514283
427,0.2793194218,-0.0650892794
428,0.2836102114,0.3271576806
429,0.2814689881,-0.1029892899
430,0.2574380275,-0.0157660022
431,0.2837512293,-0.0532731491
432,0.2602955911,0.1757815117
433,0.3028978585,0.0228901916
434,0.2536227596,0.0022435507
435,0.3429387836,0.4213182082
436,0.2681199871,0.3055018860
437,0.2990321994,-0.1091434095
438,0.2838639335,-0.1167647312
439,0.3023843797,-0.0309408116
440,0.2684425750,0.2913435593
441,0.3012776313,-0.0390557959
442,0.2854875602,-0.0747852657
443,0.4138103368,0.5793336804
444,0.3086967977,-0.0171789221
445,0.3042616050,-0.0128044690
446,0.2722211358,0.0891778664
447,0.3052117455,0.3589468306
448,0.3287286143,0.3977088637
449,0.2756750989,-0.0467606941
450,0.2827228760,-0.1850831926
451,0.3007591210,-0.1210228589
452,0.3008297206,-0.0210189648
453,0.3538704318,0.4500703612
454,0.2835227930,-0.0767519056
455,0.4362656104,0.4833334194
456,0.2887069838,-0.1438282040
457,0.3750831741,0.4779554651
458,0.3084093294,0.0350037941
459,0.4751468788,0.6041176193
460,0.3925145710,0.5181062042
461,0.2911130154,-0.0034079080
462,0.2785943311,0.3759683452
463,0.2661299306,0.0657639286
464,0.2938530143,0.0056244571
465,0.2954941375,0.3665547716
466,0.2651271883,-0.0874276963
467,0.2871902508,-0.0404998538
468,0.2917576922,-0.0923074353
469,0.2775251413,-0.1475975669
470,0.3210144255,0.4314011612
471,0.2633917328,0.2338691972
472,0.2815840870,-0.0320667748
473,0.2915203742,-0.0119763711
474,0.3043089350,0.0199731537
475,0.2774986650,-0.0773629728
476,0.2915480099,-0.0412134534
477,0.2967256083,-0.0104983139
478,0.2508077936,0.2209520608
479,0.2803298957,-0.1515671326
480,0.3035197556,-0.0087910678
481,0.2864114188,0.0018595026
482,0.2957256753,-0.0604446053
483,0.3939062311,0.4598040863
484,0.2726799882,0.1558146819
485,0.3090076053,0.0300166802
486,0.2670654436,0.0556602658
487,0.3072761348,0.0577427742
488,0.2588645385,0.1937046667
489,0.2913495859,-0.0662037349
490,0.2781369542,-0.0330945256
491,0.2905451326,-0.0303017218
492,0.3153464252,0.5557112141
493,0.2631210283,0.0080762902
494,0.2928986010,0.3128317169
495,0.3001512134,0.3792125241
496,0.2873582371,-0.1101673870
497,0.3477390773,0.4869641334
498,0.2906015715,-0.0803784002
499,0.2794475501,-0.1169975690
