design_id,length_mm,width_mm,height_mm,frontal_area_mm2,roof_height_mm,rear_slant_deg,windshield_deg,cabin_length_frac,n_vertices,cd,config
E_S_WW_WM_0531,4775.9,964.1,1272.5,1226767.0,1272.5,17.3,4.2,0.538,1558332,0.307246442847176,E_S_WW_WM
E_S_WW_WM_0532,4963.0,1011.7,1242.2,1256814.0,1242.2,11.5,4.0,0.55,1558332,0.282917494372093,E_S_WW_WM
E_S_WW_WM_0533,4688.5,1045.1,1277.9,1335603.0,1277.9,19.6,4.8,0.551,1558332,0.2943422801561461,E_S_WW_WM
E_S_WW_WM_0534,4747.1,1006.1,1312.2,1320221.0,1309.5,13.8,4.6,0.551,1558332,0.3104388085116279,E_S_WW_WM
E_S_WW_WM_0535,4447.7,984.8,1220.7,1202149.0,1220.6,10.4,5.5,0.593,1558332,0.2512519713787375,E_S_WW_WM
E_S_WW_WM_0536,4873.3,971.7,1310.4,1273365.0,1310.4,12.2,5.3,0.548,1558332,0.237149319,E_S_WW_WM
E_S_WW_WM_0537,4901.1,1025.9,1343.4,1378231.0,1343.0,18.7,4.0,0.531,1558332,0.2957431032691029,E_S_WW_WM
E_S_WW_WM_0538,4757.4,977.1,1288.5,1259009.0,1288.5,14.9,5.2,0.555,1558332,0.2562543300564784,E_S_WW_WM
E_S_WW_WM_0539,4857.0,973.1,1289.4,1254650.0,1289.3,18.4,5.2,0.521,1558332,0.2801376636345514,E_S_WW_WM
E_S_WW_WM_0540,4819.7,1108.5,1298.4,1439317.0,1298.3,17.7,5.9,0.549,1558332,0.2754317852757475,E_S_WW_WM
E_S_WW_WM_0541,4851.7,951.5,1332.3,1267683.0,1332.3,14.2,1.4,0.556,1558332,0.2887909220830565,E_S_WW_WM
E_S_WW_WM_0542,4840.0,1099.7,1236.8,1360057.0,1236.8,10.3,4.2,0.554,1558332,0.2469803536578073,E_S_WW_WM
E_S_WW_WM_0543,4891.6,1125.2,1269.0,1427890.0,1268.1,12.3,4.6,0.551,1558332,0.2709116991627907,E_S_WW_WM
E_S_WW_WM_0544,4653.2,1124.6,1269.1,1427184.0,1268.9,10.5,4.0,0.568,1558332,0.2622548699335548,E_S_WW_WM
E_S_WW_WM_0545,4546.7,1122.5,1265.4,1420484.0,1265.4,10.7,4.4,0.58,1558332,0.2565413955481727,E_S_WW_WM
E_S_WW_WM_0546,4899.3,974.2,1220.2,1188662.0,1220.2,9.7,4.8,0.549,1558332,0.2879195708704319,E_S_WW_WM
E_S_WW_WM_0547,4991.3,1075.8,1356.4,1459112.0,1352.7,14.6,0.0,0.516,1558332,0.2623123904019933,E_S_WW_WM
E_S_WW_WM_0548,4790.8,1062.8,1355.0,1440084.0,1354.7,21.4,0.4,0.539,1558332,0.3002977060564784,E_S_WW_WM
E_S_WW_WM_0549,4744.4,984.3,1244.2,1224703.0,1244.2,8.0,4.1,0.559,1558332,0.2726024708770764,E_S_WW_WM
E_S_WW_WM_0550,4490.7,1117.8,1268.3,1417724.0,1268.1,12.6,4.2,0.562,1558332,0.2868762866345515,E_S_WW_WM
E_S_WW_WM_0551,4928.2,1163.0,1287.9,1497843.0,1287.5,16.6,5.2,0.548,1558332,0.296134016179402,E_S_WW_WM
E_S_WW_WM_0552,4901.8,1076.0,1248.8,1343649.0,1248.8,11.7,4.1,0.538,1558332,0.281687667475083,E_S_WW_WM
E_S_WW_WM_0553,4750.3,930.5,1215.9,1131403.0,1215.9,7.8,5.0,0.582,1558332,0.2720391916478405,E_S_WW_WM
E_S_WW_WM_0554,4718.4,1101.9,1234.7,1360470.0,1234.7,12.1,6.8,0.576,1558332,0.2815341286079734,E_S_WW_WM
E_S_WW_WM_0555,4806.4,1080.1,1317.6,1423089.0,1317.6,19.3,5.5,0.534,1558332,0.27394421330897,E_S_WW_WM
E_S_WW_WM_0556,4816.7,1151.8,1352.2,1557550.0,1350.4,13.8,0.0,0.528,1558332,0.2542163993588039,E_S_WW_WM
E_S_WW_WM_0557,4505.6,1059.7,1254.3,1329226.0,1254.3,11.8,4.5,0.565,1558332,0.2633323940564784,E_S_WW_WM
E_S_WW_WM_0558,4705.8,1015.1,1281.4,1300847.0,1281.1,17.9,4.8,0.552,1558332,0.3093918493023256,E_S_WW_WM
E_S_WW_WM_0559,4737.4,1101.5,1252.5,1379662.0,1252.5,14.1,5.8,0.548,1558332,0.2481774168870432,E_S_WW_WM
E_S_WW_WM_0560,4862.9,1035.5,1331.6,1378932.0,1331.4,14.0,0.0,0.529,1558332,0.2238273128936877,E_S_WW_WM
E_S_WW_WM_0561,4612.3,1138.8,1284.8,1463092.0,1284.8,15.5,4.9,0.539,1558332,0.2939460820830565,E_S_WW_WM
E_S_WW_WM_0562,4928.7,1164.6,1330.0,1548855.0,1329.5,18.3,4.4,0.532,1558332,0.2656969715448505,E_S_WW_WM
E_S_WW_WM_0563,4759.4,1132.1,1229.7,1392102.0,1229.5,12.9,4.6,0.553,1558332,0.2984936877541528,E_S_WW_WM
E_S_WW_WM_0564,4862.6,1067.0,1351.6,1442139.0,1348.1,15.0,0.0,0.513,1558332,0.2932235448305648,E_S_WW_WM
E_S_WW_WM_0565,4729.1,946.0,1274.4,1205559.0,1274.0,12.7,5.4,0.541,1558332,0.2597578076744186,E_S_WW_WM
E_S_WW_WM_0566,4721.0,1009.2,1220.5,1231729.0,1220.5,9.2,4.9,0.56,1558332,0.2885443604717608,E_S_WW_WM
E_S_WW_WM_0567,4946.3,1007.5,1304.5,1314281.0,1303.2,17.9,4.7,0.512,1558332,0.2708000673189368,E_S_WW_WM
E_S_WW_WM_0568,4971.2,1049.6,1274.4,1337698.0,1274.4,13.4,4.7,0.545,1558332,0.2422876928803986,E_S_WW_WM
E_S_WW_WM_0569,4653.6,976.8,1298.0,1267858.0,1297.9,12.2,5.4,0.559,1558332,0.2768706114252492,E_S_WW_WM
E_S_WW_WM_0570,5047.9,1070.6,1223.7,1310110.0,1223.7,12.2,5.8,0.559,1558332,0.2666982284817276,E_S_WW_WM
E_S_WW_WM_0571,4623.0,1118.1,1327.8,1484513.0,1327.0,19.0,4.8,0.535,1558332,0.2848291019003322,E_S_WW_WM
E_S_WW_WM_0572,4791.4,1077.2,1287.7,1387143.0,1287.6,15.7,5.0,0.545,1558332,0.2787010063388704,E_S_WW_WM
E_S_WW_WM_0573,4612.2,958.3,1256.9,1204390.0,1256.8,12.3,3.8,0.572,1558332,0.2656161174518273,E_S_WW_WM
E_S_WW_WM_0574,5066.6,1093.1,1252.0,1368615.0,1251.9,15.0,3.9,0.545,1558332,0.2769582314352159,E_S_WW_WM
E_S_WW_WM_0575,4959.3,1031.2,1313.8,1354861.0,1313.5,15.5,4.8,0.541,1558332,0.2757620613222591,E_S_WW_WM
E_S_WW_WM_0576,4907.1,975.6,1311.6,1279625.0,1311.6,14.9,5.9,0.538,1558332,0.2886713904352159,E_S_WW_WM
E_S_WW_WM_0577,4678.3,1149.3,1257.2,1444821.0,1257.2,11.6,4.1,0.554,1558332,0.2561288533920265,E_S_WW_WM
E_S_WW_WM_0578,4794.3,1005.4,1294.9,1301986.0,1294.7,16.6,5.4,0.547,1558332,0.2762689105548173,E_S_WW_WM
E_S_WW_WM_0579,4617.9,1043.8,1218.9,1272378.0,1218.9,9.7,5.2,0.577,1558332,0.2744690599667774,E_S_WW_WM
E_S_WW_WM_0580,4767.6,1145.5,1260.3,1443629.0,1260.3,9.7,4.9,0.569,1558332,0.2908281731993355,E_S_WW_WM
E_S_WW_WM_0581,4983.8,1090.1,1330.1,1449924.0,1329.7,14.3,0.0,0.517,1558332,0.2307228377275747,E_S_WW_WM
E_S_WW_WM_0582,4799.8,1005.1,1228.4,1234713.0,1228.4,11.5,4.6,0.553,1558332,0.2581099894053156,E_S_WW_WM
E_S_WW_WM_0583,4411.1,1095.2,1285.4,1407732.0,1284.8,15.6,4.9,0.564,1558332,0.2753645602458472,E_S_WW_WM
E_S_WW_WM_0584,4792.8,1128.7,1297.8,1464833.0,1297.8,17.4,5.4,0.523,1558332,0.2615239774817276,E_S_WW_WM
E_S_WW_WM_0585,4838.6,1075.8,1298.1,1396493.0,1295.9,17.3,5.2,0.521,1558332,0.2922962815149502,E_S_WW_WM
E_S_WW_WM_0586,4803.0,1067.5,1304.4,1392477.0,1303.9,12.3,5.0,0.538,1558332,0.2771562897641196,E_S_WW_WM
E_S_WW_WM_0587,4692.2,1050.3,1351.3,1419231.0,1351.3,13.4,0.0,0.555,1558332,0.2532354770398671,E_S_WW_WM
E_S_WW_WM_0588,4885.0,1103.9,1319.5,1456568.0,1319.2,18.5,4.9,0.52,1558332,0.2913576070631229,E_S_WW_WM
E_S_WW_WM_0589,4911.1,1014.9,1235.0,1253406.0,1235.0,11.6,4.4,0.544,1558332,0.2579676812259137,E_S_WW_WM
E_S_WW_WM_0590,4575.1,1145.7,1236.2,1416274.0,1236.2,11.5,4.5,0.562,1558332,0.2864696676943521,E_S_WW_WM
E_S_WW_WM_0591,4853.2,975.0,1304.3,1271672.0,1304.3,9.9,5.1,0.559,1558332,0.243700455847176,E_S_WW_WM
E_S_WW_WM_0592,4629.8,1024.0,1239.9,1269657.0,1239.7,14.0,4.7,0.563,1558332,0.2916006454717608,E_S_WW_WM
E_S_WW_WM_0593,4804.6,966.0,1289.0,1245249.0,1288.9,15.6,5.4,0.526,1558332,0.2562273643488372,E_S_WW_WM
E_S_WW_WM_0594,4741.6,1163.0,1310.5,1524161.0,1310.2,21.0,5.7,0.528,1558332,0.2833692295249169,E_S_WW_WM
E_S_WW_WM_0595,4848.2,1094.0,1286.7,1407693.0,1286.7,15.4,5.6,0.542,1558332,0.272594058730897,E_S_WW_WM
E_S_WW_WM_0596,4762.8,1030.1,1286.2,1324858.0,1286.1,14.4,5.2,0.57,1558332,0.2864895471561461,E_S_WW_WM
E_S_WW_WM_0597,4880.6,944.6,1297.0,1225133.0,1296.9,14.1,5.1,0.529,1558332,0.2527466419202658,E_S_WW_WM
E_S_WW_WM_0598,4511.2,969.1,1350.7,1308987.0,1349.1,17.4,4.2,0.533,1558332,0.2770120587607974,E_S_WW_WM
E_S_WW_WM_0600,4773.4,1102.0,1227.7,1352813.0,1227.7,13.8,3.2,0.57,1558332,0.2988911906345515,E_S_WW_WM
E_S_WW_WM_0601,4526.6,1103.8,1278.0,1410737.0,1276.9,13.6,4.9,0.572,1558332,0.2610035428837209,E_S_WW_WM
E_S_WW_WM_0602,4940.0,951.5,1267.2,1205787.0,1267.2,13.8,5.1,0.563,1558332,0.276715658551495,E_S_WW_WM
E_S_WW_WM_0603,4952.1,1191.8,1283.4,1529501.0,1283.4,16.2,5.4,0.553,1558332,0.2680996702026578,E_S_WW_WM
E_S_WW_WM_0604,4890.8,1174.3,1298.0,1524277.0,1296.5,16.3,4.8,0.534,1558332,0.3071457585182724,E_S_WW_WM
E_S_WW_WM_0605,4772.4,1120.8,1309.6,1467688.0,1309.1,12.1,5.9,0.562,1558332,0.2839122677242525,E_S_WW_WM
E_S_WW_WM_0606,5079.1,997.7,1216.1,1213322.0,1216.1,9.3,4.6,0.559,1558332,0.2642592386611295,E_S_WW_WM
E_S_WW_WM_0607,4823.2,952.0,1342.3,1277928.0,1341.6,14.8,0.0,0.512,1558332,0.277793964116279,E_S_WW_WM
E_S_WW_WM_0608,4888.6,1109.3,1239.7,1375133.0,1239.5,13.0,4.2,0.55,1558332,0.2817132848737542,E_S_WW_WM
E_S_WW_WM_0609,4521.1,1107.4,1289.9,1428403.0,1289.7,11.7,5.3,0.552,1558332,0.3064725802491694,E_S_WW_WM
E_S_WW_WM_0610,4777.0,1083.3,1345.2,1457215.0,1344.5,13.9,4.5,0.54,1558332,0.268211041910299,E_S_WW_WM
E_S_WW_WM_0611,4591.2,1095.3,1230.7,1348092.0,1230.7,13.4,6.8,0.565,1558332,0.2664679621627907,E_S_WW_WM
E_S_WW_WM_0612,4927.9,1021.7,1261.9,1289321.0,1261.9,16.7,4.7,0.568,1558332,0.2569197526611296,E_S_WW_WM
E_S_WW_WM_0613,4890.1,1156.4,1234.0,1427042.0,1234.0,6.7,4.2,0.558,1558332,0.24432118220598,E_S_WW_WM
E_S_WW_WM_0614,4572.1,1016.9,1290.5,1312315.0,1290.4,14.5,5.3,0.543,1558332,0.2748843579368771,E_S_WW_WM
E_S_WW_WM_0615,5046.1,1068.2,1242.2,1326805.0,1242.2,10.7,4.2,0.548,1558332,0.268358644295681,E_S_WW_WM
E_S_WW_WM_0616,5080.8,1076.0,1323.8,1424353.0,1323.7,17.4,4.6,0.526,1558332,0.2955986448372093,E_S_WW_WM
E_S_WW_WM_0617,5014.0,1123.3,1223.6,1374467.0,1223.6,9.9,4.6,0.556,1558332,0.2920673185880398,E_S_WW_WM
E_S_WW_WM_0618,4778.2,1119.6,1352.4,1514068.0,1347.8,10.8,0.0,0.518,1558332,0.2864593267408638,E_S_WW_WM
E_S_WW_WM_0619,4795.9,1002.3,1274.5,1277525.0,1273.1,14.2,5.2,0.554,1558332,0.2848591688239202,E_S_WW_WM
E_S_WW_WM_0620,4495.5,1033.9,1228.1,1269744.0,1228.1,8.2,5.0,0.59,1558332,0.2462213881760797,E_S_WW_WM
E_S_WW_WM_0621,4660.3,998.4,1239.2,1237199.0,1239.2,14.9,5.8,0.554,1558332,0.292513597026578,E_S_WW_WM
E_S_WW_WM_0622,4897.9,1056.9,1330.7,1406399.0,1327.8,17.5,0.0,0.515,1558332,0.3071585997142857,E_S_WW_WM
E_S_WW_WM_0623,5041.9,1116.6,1246.2,1391545.0,1245.9,10.8,3.8,0.547,1558332,0.2923106016079734,E_S_WW_WM
E_S_WW_WM_0624,4800.3,1136.4,1226.6,1393971.0,1226.0,12.5,4.5,0.549,1558332,0.2766638750365449,E_S_WW_WM
E_S_WW_WM_0625,4748.8,1110.8,1277.4,1418920.0,1277.4,18.3,4.6,0.547,1558332,0.258568210372093,E_S_WW_WM
E_S_WW_WM_0626,4931.1,1060.0,1353.9,1435075.0,1353.5,18.1,0.0,0.521,1558332,0.3040605444983389,E_S_WW_WM
E_S_WW_WM_0627,4945.0,981.6,1262.0,1238713.0,1262.0,12.3,4.3,0.551,1558332,0.2599173082059801,E_S_WW_WM
E_S_WW_WM_0628,4550.0,1072.9,1339.6,1437202.0,1339.6,19.4,0.7,0.544,1558332,0.2859696357807308,E_S_WW_WM
E_S_WW_WM_0629,4945.6,1071.6,1333.4,1428813.0,1333.3,9.9,4.3,0.547,1558332,0.264366808089701,E_S_WW_WM
E_S_WW_WM_0630,4790.5,1131.9,1329.5,1504850.0,1329.3,18.5,4.6,0.522,1558332,0.2705663075581395,E_S_WW_WM
E_S_WW_WM_0631,4718.7,1025.1,1350.1,1383923.0,1349.9,15.4,1.2,0.562,1558332,0.2422330792890365,E_S_WW_WM
E_S_WW_WM_0632,4649.3,1008.9,1335.3,1347272.0,1334.2,17.7,5.4,0.552,1558332,0.2906002964186047,E_S_WW_WM
E_S_WW_WM_0633,4663.3,928.5,1251.5,1162056.0,1250.7,14.6,4.1,0.556,1558332,0.2844536718006644,E_S_WW_WM
E_S_WW_WM_0634,4692.5,991.9,1326.7,1315914.0,1326.1,12.3,4.9,0.55,1558332,0.2825001107142857,E_S_WW_WM
E_S_WW_WM_0635,5037.6,1010.9,1333.1,1347636.0,1331.9,17.3,0.0,0.516,1558332,0.2864126034551495,E_S_WW_WM
E_S_WW_WM_0636,4635.1,1074.2,1307.3,1404342.0,1306.8,17.3,5.4,0.522,1558332,0.2768426762757475,E_S_WW_WM
E_S_WW_WM_0637,4784.6,1063.7,1281.7,1363345.0,1281.7,14.3,4.7,0.548,1558332,0.2631378782591362,E_S_WW_WM
E_S_WW_WM_0638,4975.8,1034.0,1311.1,1355611.0,1311.1,13.7,4.9,0.529,1558332,0.2641209015016611,E_S_WW_WM
E_S_WW_WM_0639,4727.6,1085.4,1265.9,1374010.0,1264.8,14.5,4.0,0.547,1558332,0.2984710303355481,E_S_WW_WM
E_S_WW_WM_0640,4882.4,1141.3,1325.0,1512309.0,1322.6,8.7,0.0,0.531,1558332,0.2796432584385382,E_S_WW_WM
E_S_WW_WM_0641,4753.7,1017.6,1307.8,1330916.0,1307.1,18.8,5.3,0.526,1558332,0.2941010146445183,E_S_WW_WM
E_S_WW_WM_0642,4720.2,958.4,1312.6,1258054.0,1311.9,15.1,4.9,0.527,1558332,0.3093052726445182,E_S_WW_WM
E_S_WW_WM_0643,4810.1,1001.4,1232.8,1234528.0,1232.6,9.8,4.3,0.549,1558332,0.2613761933820598,E_S_WW_WM
E_S_WW_WM_0644,4869.9,1151.6,1325.3,1526303.0,1325.2,16.2,5.1,0.54,1558332,0.2825878149667774,E_S_WW_WM
E_S_WW_WM_0645,5010.7,1036.7,1351.1,1400682.0,1350.5,16.4,0.0,0.517,1558332,0.2718554286877076,E_S_WW_WM
E_S_WW_WM_0646,4928.6,1107.6,1237.1,1370178.0,1237.1,9.7,4.6,0.567,1558332,0.2785512498704319,E_S_WW_WM
E_S_WW_WM_0647,5125.0,1071.1,1289.7,1381413.0,1289.5,11.4,4.8,0.537,1558332,0.2536568117807309,E_S_WW_WM
E_S_WW_WM_0648,4759.8,1007.8,1342.8,1353230.0,1341.7,13.7,0.0,0.54,1558332,0.250949516013289,E_S_WW_WM
E_S_WW_WM_0649,4871.3,953.7,1263.8,1205259.0,1263.8,13.2,4.0,0.551,1558332,0.2739072883920265,E_S_WW_WM
E_S_WW_WM_0650,4806.1,975.6,1301.6,1269846.0,1301.6,16.0,5.0,0.545,1558332,0.2777166459833887,E_S_WW_WM
E_S_WW_WM_0651,4563.5,1112.5,1347.2,1498757.0,1345.6,18.8,4.1,0.521,1558332,0.2977652549368771,E_S_WW_WM
E_S_WW_WM_0652,5100.3,999.7,1230.1,1229710.0,1230.1,11.4,4.2,0.543,1558332,0.2620032063488371,E_S_WW_WM
E_S_WW_WM_0653,4970.1,1109.8,1289.7,1431308.0,1289.7,13.0,5.0,0.541,1558332,0.234854766398671,E_S_WW_WM
E_S_WW_WM_0654,4719.6,1058.0,1243.9,1316098.0,1243.9,13.3,4.6,0.544,1558332,0.254240281833887,E_S_WW_WM
E_S_WW_WM_0655,4825.8,959.3,1274.0,1222199.0,1274.0,9.5,4.3,0.566,1558332,0.2631287777109635,E_S_WW_WM
E_S_WW_WM_0656,5005.5,1130.8,1316.2,1488309.0,1316.2,11.2,4.7,0.536,1558332,0.252993379833887,E_S_WW_WM
E_S_WW_WM_0657,4979.2,1015.1,1280.7,1299950.0,1280.5,16.6,4.5,0.55,1558332,0.3117904170166113,E_S_WW_WM
E_S_WW_WM_0658,5007.5,1044.9,1316.4,1375490.0,1316.0,17.3,4.9,0.527,1558332,0.2738885687142857,E_S_WW_WM
E_S_WW_WM_0659,4644.9,1102.7,1299.3,1432772.0,1298.3,11.7,5.6,0.529,1558332,0.2484481848039867,E_S_WW_WM
E_S_WW_WM_0660,4727.8,1132.6,1297.3,1469375.0,1297.3,11.5,5.5,0.553,1558332,0.2657330098704318,E_S_WW_WM
E_S_WW_WM_0661,5153.6,1002.9,1280.7,1284439.0,1280.6,11.7,5.1,0.539,1558332,0.2842177234119601,E_S_WW_WM
E_S_WW_WM_0662,5116.4,1103.3,1342.7,1481435.0,1341.8,14.6,0.0,0.519,1558332,0.2727777779568106,E_S_WW_WM
E_S_WW_WM_0663,4614.5,1036.7,1312.4,1360522.0,1312.4,13.7,5.7,0.553,1558332,0.2716957291129568,E_S_WW_WM
E_S_WW_WM_0664,4547.0,1029.6,1270.2,1307710.0,1268.7,14.1,4.8,0.553,1558332,0.3153763703920266,E_S_WW_WM
E_S_WW_WM_0665,4772.1,962.9,1349.3,1299254.0,1349.3,14.5,0.0,0.537,1558332,0.2661151977840531,E_S_WW_WM
E_S_WW_WM_0666,4814.5,1065.3,1292.1,1376414.0,1291.7,13.1,5.2,0.552,1558332,0.3016945273654485,E_S_WW_WM
E_S_WW_WM_0667,4640.9,1008.5,1211.6,1221835.0,1211.6,7.7,5.3,0.576,1558332,0.2453189734119601,E_S_WW_WM
E_S_WW_WM_0668,4921.2,991.4,1232.5,1221952.0,1232.5,6.2,4.1,0.572,1558332,0.2448510365481727,E_S_WW_WM
E_S_WW_WM_0669,4611.6,947.7,1218.6,1154918.0,1218.6,7.1,5.2,0.585,1558332,0.2775085634916944,E_S_WW_WM
E_S_WW_WM_0670,4755.2,1125.6,1326.4,1493000.0,1322.2,13.2,0.0,0.527,1558332,0.2792542984152824,E_S_WW_WM
E_S_WW_WM_0671,4624.4,1026.2,1344.7,1379896.0,1344.0,17.8,4.6,0.546,1558332,0.2548058867574751,E_S_WW_WM
E_S_WW_WM_0672,4830.9,972.8,1321.5,1285485.0,1320.4,14.3,4.6,0.547,1558332,0.3027228776943522,E_S_WW_WM
E_S_WW_WM_0673,4917.8,1145.1,1354.6,1551209.0,1354.0,14.3,0.0,0.53,1558332,0.2714630959302325,E_S_WW_WM
E_S_WW_WM_0674,4588.7,1011.8,1358.7,1374759.0,1357.3,17.2,0.0,0.554,1558332,0.2982755256411959,E_S_WW_WM
E_S_WW_WM_0675,5119.7,967.7,1249.7,1209376.0,1249.6,14.2,4.1,0.531,1558332,0.2721896124285714,E_S_WW_WM
E_S_WW_WM_0676,4623.8,1062.7,1353.3,1438146.0,1352.0,15.9,0.0,0.553,1558332,0.2638835320199336,E_S_WW_WM
E_S_WW_WM_0677,4827.0,951.2,1239.4,1178885.0,1239.2,11.6,4.1,0.565,1558332,0.2917037135382059,E_S_WW_WM
E_S_WW_WM_0678,4725.1,1133.5,1328.1,1505326.0,1327.2,12.6,4.6,0.546,1558332,0.2679530995315615,E_S_WW_WM
E_S_WW_WM_0679,5086.7,1134.3,1333.6,1512767.0,1332.8,12.1,0.0,0.523,1558332,0.2801924671063123,E_S_WW_WM
E_S_WW_WM_0680,4952.9,1048.8,1229.4,1289392.0,1229.2,8.7,4.4,0.549,1558332,0.2974289367607973,E_S_WW_WM
E_S_WW_WM_0681,4849.1,1116.0,1266.7,1413652.0,1266.6,11.9,5.3,0.582,1558332,0.2766309131694351,E_S_WW_WM
E_S_WW_WM_0682,4605.3,1059.0,1318.9,1396758.0,1318.7,18.6,5.7,0.533,1558332,0.2590253236212624,E_S_WW_WM
E_S_WW_WM_0683,4711.5,1108.7,1276.5,1415208.0,1276.5,11.4,4.5,0.555,1558332,0.2783385380697674,E_S_WW_WM
E_S_WW_WM_0684,4979.4,990.2,1324.1,1311070.0,1324.1,13.7,4.6,0.538,1558332,0.2457959934817275,E_S_WW_WM
E_S_WW_WM_0685,4839.6,1178.5,1294.4,1525461.0,1294.4,16.3,5.2,0.529,1558332,0.2582030869435216,E_S_WW_WM
E_S_WW_WM_0686,4588.4,1168.5,1329.8,1553971.0,1327.4,16.7,4.5,0.546,1558332,0.2877128491129568,E_S_WW_WM
E_S_WW_WM_0687,4581.4,995.3,1266.4,1260545.0,1266.4,16.6,6.7,0.566,1558332,0.2887051928637874,E_S_WW_WM
E_S_WW_WM_0688,4847.9,1167.8,1307.3,1526601.0,1307.3,11.6,4.3,0.565,1558332,0.2365185559767441,E_S_WW_WM
E_S_WW_WM_0689,4707.6,1009.2,1244.2,1255695.0,1244.2,8.6,6.6,0.578,1558332,0.2577587794584717,E_S_WW_WM
E_S_WW_WM_0690,5116.4,948.9,1342.7,1274113.0,1342.4,16.9,0.0,0.503,1558332,0.2645997833322259,E_S_WW_WM
E_S_WW_WM_0691,4720.2,1084.3,1342.6,1455734.0,1342.5,19.2,4.6,0.513,1558332,0.2700692818272425,E_S_WW_WM
E_S_WW_WM_0692,4857.9,1114.8,1274.7,1421048.0,1274.7,14.1,3.5,0.564,1558332,0.288487458358804,E_S_WW_WM
E_S_WW_WM_0693,4825.3,1150.4,1244.8,1431981.0,1244.6,11.3,4.4,0.537,1558332,0.2424601082990033,E_S_WW_WM
E_S_WW_WM_0694,5194.1,1143.2,1245.5,1423786.0,1245.5,13.5,4.8,0.546,1558332,0.2704243835348837,E_S_WW_WM
E_S_WW_WM_0695,4931.7,1008.7,1325.7,1337230.0,1325.7,11.5,4.7,0.534,1558332,0.2456537477043189,E_S_WW_WM
E_S_WW_WM_0696,4805.3,1006.4,1219.8,1227607.0,1219.8,8.4,4.9,0.574,1558332,0.293964014820598,E_S_WW_WM
E_S_WW_WM_0697,4543.9,1111.8,1336.6,1486022.0,1334.5,19.6,4.8,0.549,1558332,0.2734809921428571,E_S_WW_WM
